id,name,r,g,b
11301,JR東海道本線(東京～熱海),232,144,61
11302,JR山手線,165,204,79
11303,JR南武線,248,214,72
11305,JR武蔵野線,223,100,54
11306,JR横浜線,143,193,86
11308,JR横須賀線,43,101,186
11311,JR中央本線(東京～塩尻),223,100,54
11312,JR中央線(快速),223,100,54
11313,JR中央・総武緩行線,249,214,72
11314,JR総武本線,249,214,72
11315,JR青梅線),223,100,54
11316,JR五日市線,223,100,54
11317,JR八高線(八王子～高麗川),167,163,158
11319,JR東北本線,95,175,118
11320,JR常磐線(上野～取手),80,175,105
11321,JR埼京線,78,169,154
11323,JR高崎線,232,144,61
11326,JR京葉線,185,54,54
11328,JR成田エクスプレス,185,54,54
11332,JR京浜東北線,80,175,224
11333,JR湘南新宿ライン,209,55,50
11343,上野東京ライン,134,48,139
21001,東武東上線,24,63,147
21002,東武伊勢崎線,243,169,59
21005,東武亀戸線,242,169,59
21006,東武大師線,243,169,59
22001,西武池袋線,237,112,45
22003,西武有楽町線,237,112,45
22004,西武豊島線,237,112,45
22007,西武新宿線,67,151,199
22008,西武拝島線,67,151,199
22009,西武西武園線,103,201,113
22010,西武国分寺線,103,201,113
22011,西武多摩湖線,248,206,85
22012,西武多摩川線,237,112,45
23001,京成本線,38,89,164
23002,京成押上線,38,89,164
23003,京成金町線,38,89,164
23006,京成成田空港線,239,140,62
24001,京王線,203,43,118
24002,京王相模原線,203,43,118
24003,京王高尾線,203,43,118
24004,京王競馬場線,203,43,118
24005,京王動物園線,203,43,118
24006,京王井の頭線,1,0,130
24007,京王新線,203,43,118
25001,小田急小田原線,67,134,198
25003,小田急多摩線,67,134,198
26001,東急東横線,200,43,70
26002,東急目黒線,69,154,205
26003,東急田園都市線,79,160,137
26004,東急大井町線,227,145,82
26005,東急池上線,224,139,166
26006,東急多摩川線,159,33,117
26007,東急世田谷線,245,201,70
27001,京急本線,98,191,224
27002,京急空港線,98,191,224
28001,東京メトロ銀座線,241,154,55
28002,東京メトロ丸ノ内線,226,68,64
28003,東京メトロ日比谷線,182,181,173
28004,東京メトロ東西線,68,153,187
28005,東京メトロ千代田線,84,184,137
28006,東京メトロ有楽町線,189,165,119
28008,東京メトロ半蔵門線,139,119,208
28009,東京メトロ南北線,78,169,155
28010,東京メトロ副都心線,148,97,58
99301,都営大江戸線,190,40,92
99302,都営浅草線,214,77,59
99303,都営三田線,45,104,178
99304,都営新宿線,180,191,67
99305,都営都電荒川線,201,98,129
99309,首都圏新都市鉄道つくばエクスプレス,18,39,101
99311,ゆりかもめ東京臨海新交通臨海線,46,63,77
99334,多摩都市モノレール線,237,112,67
99336,東京モノレール羽田空港線,37,46,103
99337,東京臨海高速鉄道りんかい線,50,33,121
99340,北総鉄道北総線,85,186,237
99342,日暮里・舎人ライナー,197,69,119
